Event #,Event Name,Brief Description,Event Start Date and Time,Event End Date and Time,Event Duration,Event Category,Track,Ribbon,Maximum Players for Event,Price,Company or Gaming Group,Game Master,Game Manufacturer,Game System and Edition,Rules Taught?,Materials Provided?,Tournament Style,Tournament Round,Minimum Age,Game Complexity,Experience
6398,HeroClix DC Battle Royale,HeroClix Battle Royale Booster Draft with Random Seating,6/13/2018 12:00,6/13/2018 18:00,2 Hours,Miniature,,,500,12,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
6403,HeroClix Star Trek Battle Royale,HeroClix Battle Royale Booster Draft with Random Seating,6/13/2018 12:00,6/13/2018 18:00,2 Hours,Miniature,,,500,12,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
6413,HeroClix US Nationals Qualifier,Bring your best 300-point Modern Age team and compete in a 8 person single elimination tourney,6/13/2018 12:00,6/13/2018 18:00,2 Hours,Miniature,,,500,12,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
8043,Star Wars Destiny ON Demand Escape Pods,8 Player on demand pods. Bring your constructed deck and compete. 3 rounds of swiss,6/13/2018 12:00,6/13/2018 21:00,2 Hours,CCG/TCG,,,100,12,Cascade Games LLC,Steve Cameron,Fantasy Flight Games,Star Wars Destiny,No,No,Swiss,,10+,Med,Intermediate
8422,Dragon Ball Super Starter Deck Tournament On-Demand,Get a Starter Deck and Play for a Playmat,6/13/2018 12:00,6/17/2018 16:00,2 Hours,CCG/TCG,,,8,12,Alter Reality Games,Bradley Hoisington,Bandai,Dragon Ball Super,Yes,Yes,Single Elimination,Round 3,10+,Med,Intermediate
8423,Dragon Ball Super Win-A-Mat Tournament On-Demand,Get 1 Event Pack for Playing & Winner Receives a Playmat,6/13/2018 12:00,6/17/2018 16:00,2 Hours,CCG/TCG,,,8,12,Alter Reality Games,Bradley Hoisington,Bandai,Dragon Ball Super,Yes,No,Single Elimination,Round 3,10+,Med,Intermediate
6408,HeroClix Marvel Avengers Infinity Battle Royale,HeroClix Battle Royale Booster Draft with Random Seating,6/13/2018 12:00,6/13/2018 18:00,2 Hours,Miniature,,,500,16,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
1946,Lightseekers Learn to Play,Receive a Lightseekers starter deck of your choice and instruction on how to play.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,CCG/TCG,,,32,20,Cascade Games LLC,,PlayFusion,,Yes,Yes,Swiss,Full tournament,5+,Med,Beginner
8424,Dragon Ball Super Win-A-Box Tournament On-Demand,Get 1 Event Pack for Playing & Winner Receives a Booster Box / 2nd gets a Playmat,6/13/2018 12:00,6/17/2018 16:00,2 Hours,CCG/TCG,,,8,20,Alter Reality Games,Bradley Hoisington,Bandai,Dragon Ball Super,Yes,No,Single Elimination,Round 3,10+,Med,Intermediate
8044,Star Wars Destiny On Demand Rivals Escape Pods,8 Player on demand pods. Bring your constructed deck and compete. 3 rounds of swiss. Players receive 6 booster packs for drafting.,6/13/2018 12:00,6/13/2018 21:00,2 Hours,CCG/TCG,,,100,26,Cascade Games LLC,Steve Cameron,Fantasy Flight Games,Star Wars Destiny,No,Yes,Swiss,,10+,Med,Intermediate
8425,Dragon Ball Super Draft Tournament On-Demand,Get 1 Event Pack for Playing & Winner Receives a Booster Box / 2nd gets a Playmat,6/13/2018 12:00,6/17/2018 16:00,2 Hours,CCG/TCG,,,8,32,Alter Reality Games,Bradley Hoisington,Bandai,Dragon Ball Super,Yes,Yes,Single Elimination,Round 3,10+,Med,Intermediate
6949,Fresco,"Rules taught. Winner keeps the game! As master painters, the players must work to restore the fresco in a renaissance church.",6/13/2018 12:00,6/13/2018 12:00,2 Hours,Tabletop,,,4,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
8091,Giant Hounded,"Make new friends as you learn to play this two-player, asymmetrical fox-hunting game in teams on our giant floor-play edition!",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,8,2,Atlas Games,Atlas Games,Atlas Games,Hounded,Yes,Yes,,,10+,Low,Beginner
8098,Witches of the Revolution,"Learn the co-op deck-builder where each player takes the role of a coven of witches, and the covens must work together to make sure the American Revolution succeeds!",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,12,2,Atlas Games,Atlas Games,Atlas Games,Witches of the Revolution,Yes,Yes,,,10+,Med,Beginner
1978,Battletech Grinder,This is our most popular event for all ability levels. This casual game plays continuously all convention & allows players to come & go as their schedule allows.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Miniature,,,13,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Total Warfare,Yes,Yes,,,10+,Low,Beginner
2126,Cosmic Patrol,"The Metatherions and their powers to warp space and time threaten all life as we know it! And the only way for the Cosmic Patrol to fight them is by braving a trip through the Gern Gravastar, an extradimensional portal leading to the Metatherions’ native plane. Only, the Gravastar is steadily growing in size, and nothing can slow it down. Unless it can be stopped, the Gravastar will eclipse whole systems, the entire galaxy—perhaps even the whole universe!",6/13/2018 12:00,6/13/2018 14:00,2 Hours,RPG,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Cosmic Patrol,No,Yes,,,13+,Med,Beginner
2100,Dragonfire: Dungeon Crawl,Scenario from core box: Adventure Level 1,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Dragonfire,Yes,Yes,,,13+,Low,Beginner
2160,Shadowrun: Build-A-Runner Workshop,Sit down with one of GM's and learn how to or get help with building aMissions legal character to use in our living campaign.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,RPG,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,Yes,Yes,,,13+,High,Beginner
2234,Shadowrun: First Taste,"Welcome to the Shadows, use a pregen and learn how to play Shadowrun Fifth Edition",6/13/2018 12:00,6/13/2018 14:00,2 Hours,RPG,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,Yes,Yes,,,13+,High,Beginner
2136,Shadowrun: Anarchy,Come enjoy the storytelling aspect of the Sixth World. Every session is different because you help tell the story.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,RPG,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun Anarchy,Yes,Yes,,,13+,Med,Beginner
7923,Too Many Bones - Undertow,"The hotly anticipated sequel to the award winning Dice Builder RPG, Too Many Bones! Bring friends for this coop standalone expansion with brand new characters, baddies, skills and adventures! #TMBU",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,8,2,Chip Theory Games,,Chip Theory Games,Too Many Bones - Undertow,Yes,Yes,,,10+,Med,Beginner
2706,Pulsar 2849 - Learn 2 Play,Who doesn't want to run their own space mining company? Explore space! Claim pulsars! Discover technologies that will help you build an energy-distribution infrastructure on a cosmic scale!,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,4,2,,,Czech Games Edition,,Yes,Yes,,,13+,Med,Beginner
6572,CONTROL!,"CONTROL! is an upcoming face-paced, competitive card game of planetary conquest. 3-5 players compete with one another over several rounds to take control of 6 different alien worlds.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,First Look,,5,2,Kerberos Productions,,Kerberos Productions,CONTROL! Beta,Yes,Yes,,,10+,Low,Beginner
7007,Pioneers,"Rules taught. Winner keeps the game! Blaze the trails west, populating cities with your pioneers.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,8,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
5220,Bigfoot vs. Yeti: Battle of the Cryptids,"A battle is brewing between the undisputed king of the cryptids Bigfoot and his stone cold cousin the Yeti, who is sick of playing second fiddle.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,8,2,Shoot Again Games,,Shoot Again Games,First Edition,Yes,Yes,,,13+,Low,Beginner
8220,Munchkin the CCG - Learn to play,Learn to play Munchkin The Collectible Card game,6/13/2018 12:00,6/13/2018 14:00,2 Hours,CCG/TCG,,,24,2,Steve Jackson Games,,Steve Jackson Games,,Yes,Yes,,,13+,Med,Beginner
8238,Munchkin - Learn to play,Learn to play the mega-hit card game about dungeon adventure,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,10,2,Steve Jackson Games,,Steve Jackson Games,,Yes,Yes,,,13+,Med,Beginner
4753,Contest of Champions: Battlerealm Beginner Game,"Take on the role of your favorite Marvel hero and be pitted in an all-out, knockdown, drag out slugfest! Do you have what it takes to be the last Hero standing?",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,20,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4780,Dungeon Draft Beginner Game,"Draft cards to use gold to recruit Heroes and Weapons allowing you to defeat Monsters with attack, acquire additional gold and gain sought after XP.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4814,Quest For The Antidote Beginner Game,Every player has been poisoned. Will you be the first to return with the ingredients you need?,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4830,Vs. System 2PCG Constructed Beginner Game,Take your first steps in the world of Vs System 2PCG as you take control of a Marvel character and battle your opponent to victory.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,CCG/TCG,,,16,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4850,Contest of Champions: Battlerealm Beginner Game,"Take on the role of your favorite Marvel hero and be pitted in an all-out, knockdown, drag out slugfest! Do you have what it takes to be the last Hero standing?",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,20,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4877,Dungeon Draft Beginner Game,"Draft cards to use gold to recruit Heroes and Weapons allowing you to defeat Monsters with attack, acquire additional gold and gain sought after XP.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4911,Quest For The Antidote Beginner Game,Every player has been poisoned. Will you be the first to return with the ingredients you need?,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4927,Vs. System 2PCG Constructed Beginner Game,Take your first steps in the world of Vs System 2PCG as you take control of a Marvel character and battle your opponent to victory.,6/13/2018 12:00,6/13/2018 14:00,2 Hours,CCG/TCG,,,16,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
7863,Star Realms Casual Event,Play Star Realms in a casual environment perfect for new and/or casual players. Promos for all participants. Door Prizes!,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Tabletop,,,24,2,White Wizard Games,,White Wizard Games,Star Realms Rules,Yes,Yes,Swiss,,10+,Low,Beginner
2980,Just Dance 2018 (XB1),Tournament for Just Dance 2018 for the X Box One,6/13/2018 12:00,6/13/2018 14:00,2 Hours,Eclectics,,,64,2,Nexus Gaming Alliance,Final Boss Gaming T.O.,X Box One,X Box One,Yes,Yes,Single Elimination,Full Tournament,10+,Low,Intermediate
8207,Munchkin the CCG - draft event featuring Blarg!,A draft event featuring the Desolation of Blarg booster pack,6/13/2018 12:00,6/13/2018 15:00,3 Hours,CCG/TCG,,,16,16,Steve Jackson Games,,Steve Jackson Games,,No,Yes,,,13+,Med,Intermediate
5090,FASA Star Trek: Heated Encounter,FASA Star Trek battle Federation vs. Tholians,6/13/2018 12:00,6/13/2018 15:00,3 Hours,Miniature,,,6,4,,Chris Norton,FASA,Star Trek: Starship Tactical Combat Simulator,Yes,Yes,,,13+,Low,Beginner
5244,Circus Giganticus,Race your LEGO chariots around this massive 14'x6' track. Bump & Whip your opponents out of the way. Rules Taught. Prizes Awarded!,6/13/2018 12:00,6/13/2018 16:00,4 Hours,Miniature,,,9,4,Amorphous Blob Games,Various,ABGames,Latest,Yes,Yes,,,13+,Low,Beginner
2896,Advanced Civilization Teaching Game,A short game to introduce new players to Advanced Civilization. The GM will guide players as they learn or refamiliarize with this excellent game. Experience welcome but not required.,6/13/2018 12:00,6/13/2018 16:00,4 Hours,Tabletop,,,12,4,,Cornelia Yoder,Avalon Hill,Advanced Civilization,Yes,Yes,,,13+,Med,Beginner
2184,Shadowrun: CMP 2018-01 Viva Las Vegas: Dead Man’s Hand,"The team is called out to Las Vegas to help a gambler out with a goon issue. When the Johnson doesn’t show up for the meet, they only have so long before their paycheck becomes a mirage.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2191,Shadowrun: CMP 2018-02: Viva Las Vegas: You’re Nobody till Somebody Loves You,"The heart wants what it wants, but there are those who don’t approve of this union. The team is hired to extract a mafia princess from the family, but is it love or leverage Mr. J is looking for?",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2209,Shadowrun: CMP 2018-05 Cerulean Shadows: Letter of Marque,"Cargo ships are turning up missing on their way to Metropole, and the owners aren’t too happy about it.  The team is hired to crew a decoy vessel in order to capture the elusive Pirate before they can strike again.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2215,Shadowrun: CMP 2018-06 Cerulean Shadows: Honor Amongst Thieves,"Business is business, right? The team gets an interesting offer from someone they just had arrested. A little nuyen goes a long way toward forgiveness.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2258,Shadowrun: SRM 09-01 Started from the Bottom,"When you are new to the shadows of Neo Tokyo, without much in the way of reputation or established contacts, the work that comes your way feels beneath your talent. But this is Neo-Tokyo and you start from the bottom.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2269,Shadowrun: SRM 09-02 Finders Keepers,"Tanaka-san has lost something and needs it retrieved. He won't tell you what it is, where to get it, or even reveal himself. Can you prove your worth and uncover the mystery?",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2281,Shadowrun: SRM 09-03 Learning Little from Victory,Honor is life in Neo-Tokyo; how do you hold on to yours when Tanaka-san asks you to get involved in local politics? Can you put your candidate on the path to victory without losing face in front of new ‘friends’?,6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
2293,Shadowrun: SRM 09-04 Neo-Tokyo Drift,The street racing scene of Neo-Tokyo is reknown worldwide so when the team is asked to get involved they jump right in. What happens when the stakes get higher and higher on the unforgiving streets?,6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,7,4,Catalyst Game Labs,,Catalyst Game Labs,Shadowrun 5E,No,No,,,13+,High,Intermediate
361,Master Who?,"The Daleks plan to eliminate the Doctor using a Time Lord weapon. It turns out the Doctor has a most unlikely ally, though; the Master.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,Studio 2 Demo Team,Jeff Hetzel,Exile Game Studio,Ubiquity 1st,Yes,Yes,,,13+,Low,Beginner
1457,Injustice: Prison Break,Batman and his Resistance learn of way to depower the renegade Superman. They just need to free a Kryptonian scientist from the Fortress of Solitude to do it.,6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,Studio2 Demo Team,Alex Thomas,Green Ronin,Mutants and Masterminds 3rd,Yes,Yes,,,13+,Low,Beginner
1394,HackMaster: Drain the Swamp,This area should be a thriving swamp. Instead you find yourselves slogging through thick mud and stagnant pools. It is up to you to rescue the dryad and restore this section of forest to harmony.,6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,HackPack,Ron Gores,KenzerCo,HackMaster 5th,Yes,Yes,,,13+,Med,Beginner
8472,Numenera: Ashes of the Sea,"While exploring a prior world ruin, an ancient device sent the characters to distant reaches unknown. The key home lies within an ancient site, rife with dangers of its original function.",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,Monte Cook Games,,Monte Cook Games,Cypher System,Yes,Yes,,,13+,Low,Beginner
375,Quantum Black Case 026: Night of the Shoggoth,An elite Quantum Black team is called in to investigate a research facility that has suddenly gone silent.,6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,Studio 2 Demo Team,Scott Jones,Quantum Black,Ubiquity 1st,Yes,Yes,,,13+,Low,Beginner
839,The Early Days 1/72 WWI Air to Air Combat,Join the Knights of the Sky as you fly over the trenches to carry the colors of the Central Powers or the Entente to glory in Early War aircraft,6/13/2018 12:00,6/13/2018 16:00,4 Hours,Miniature,War College,,10,4,HMGS Great Lakes,Bob Wicks,Stanley Kubiak,Aerodrome 1.1,Yes,Yes,,,13+,Low,Beginner
841,Up we go - WWI air to Air Combat,Join the Central powers or Entente to control the skies over France in 1/72 3 dimensional combat,6/13/2018 12:00,6/13/2018 16:00,4 Hours,Miniature,War College,,10,4,HMGS Great Lakes,Bob Wicks,Stanley Kubiak,Aerodrome 1.1,Yes,Yes,,,13+,Low,Beginner
4968,TORG Eternity Day 1: Aysle,"Chaos reigns as the cosm of Aysle asserts itself in London, dragging its inhabitants with it",6/13/2018 12:00,6/13/2018 16:00,4 Hours,RPG,,,6,4,,Tim Walsh,Ulisses Spiele,TORG Eternity,Yes,Yes,,,13+,Low,Beginner
1366,"Hive, Queen and Country-Operation Pegasus","For months the Alien Hives have continued to grow across South and Central America. The armies of humanity have united to face this menace and slowly the military and technological might has begun to show results. A force from numerous nations now strikes deep into Hive territory, in what was once Venezuela seeking to destroy one of the alien strongholds. Can General Teddy Roosevelt and his air and ground forces destroy the alien outpost?",6/13/2018 12:00,6/13/2018 17:00,5 Hours,Miniature,,,18,6,Aerolyth Enterprises,"Terry Sofian, Arun Rodrigues, Lucy Krawinkel",Aerolyth Enterprises,The Hive and the Flame,Yes,Yes,,,13+,Low,Beginner
6564,The Pit - The Board Game,"The Pit - The Board Game is a cooperative scifi dungeon crawler, set in the Sword of the Stars Universe. 4 Players take control of Solforce operatives as they traverse the halls and rooms of The Pit.",6/13/2018 12:00,6/13/2018 17:00,5 Hours,Tabletop,First Look,,5,6,Kerberos Productions,,Kerberos Productions,The Pit - The Board Game Beta,Yes,Yes,,,13+,Med,Beginner
1152,It's a fine day to fly,Three Dimensional WWI Aerial combat using 1/72 Scale aircraft,6/13/2018 12:30,6/13/2018 16:30,4 Hours,Miniature,,,8,4,HMGS=Great Lakes,Bob Wicks,Stanley Kubiak,Aerodrome 1.1,Yes,Yes,,,13+,Low,Beginner
2970,Vault Assault,"A frenetic ""Cops & Robbers"" dice game in which players will take turns stealing as much money as possible, or chasing the thieves away!",6/13/2018 13:00,6/13/2018 13:45,1 Hour,Tabletop,,,2,2,Inside Up Games,,Inside Up Games,,Yes,Yes,,,10+,Low,Beginner
2048,Alpha Strike Academy,"Learn to play the newer, quick-play version of Battletech.",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Miniature,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Alpha Strike,Yes,Yes,,,10+,Low,Beginner
2004,Battletech Bootcamp,"Learn (or relearn) to play. Perfect for new players, even those without miniature or tabletop experience.",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Miniature,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Total Warfare,Yes,Yes,,,10+,Low,Beginner
6317,ROBOT RISE!,"Embrace your inner mad scientist! Take on a secret identity, build giant robots, deploy gadgets, escape disasters, and form temporary alliances to survive this fast-paced card game for 2-6 players.",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Tabletop,,,6,2,Happy Harpy Games,,Happy Harpy Games,,Yes,Yes,,,10+,Low,Beginner
1699,King of Tokyo Tournament,Become the King of Tokyo! Participate in a multi-round tournament for a chance at being the ultimate King and winning a Rozy Pony character!,6/13/2018 13:00,6/13/2018 14:00,1 Hour,Tabletop,,,24,2,,,IELLO USA LLC,"King of Tokyo, current",no,yes,Swiss,,10+,Low,Expert
6894,PLAY TO WIN - Maharani,"PLAY TO WIN! Rules taught. Winner keeps the game! Blaze the trails west, populating cities with your pioneers.",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Tabletop,,,4,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
1398,Reaper Speed Paint,Join Reaper to paint your model against the clock. Two winners each round advance to Saturday's SemiFinals.,6/13/2018 13:00,6/13/2018 14:00,1 Hour,Miniature,,,16,2,Reaper Miniatures,Cheryl Storm,Reaper Miniatures,,No,Yes,Single Elimination,Round 1,10+,Med,Intermediate
2389,Tali - Roman Knucklebones,"Tali, is the historic Roman version of Knucklebones. Featuring the tactile feel of simulated Bones and a micro-Role-Playing game of gambling with different historic based characters.",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Tabletop,Game Designer,,16,2,VRGames / VRSoft.com,,VR-Soft.com LLC,Tali,Yes,Yes,,,13+,Low,Beginner
6697,Fire in the Library,"Fire! The books are aflame and history is burning before your very eyes! Save what you can in this stunning 30 minute game for 1-6 players. Fire in the Library is a press-your-luck game from Weird Giraffe Games by Tony Miller and John Prather with art by Beth Sobel and Katie Khau. Players are heroic librarians rescuing books to accumulate knowledge and earn bravery all while avoiding the flames before the library collapses! Easy to Learn: Simple enough for kids to play and enjoy, with depth and strategy that will keep serious gamers coming back. Increasing Intensity: Books increase in value all the way until the end but no one knows who will take the last turn. Players must decide if they should save tools for an epic late game point swing or grab points now to take an early lead. AI Variants: Experience the excitement of Fire in the Library on your own with the solo game or spice up a multi-player match by adding new challengers. History is burning-take chances, be brave, SAVE BOOKS!",6/13/2018 13:00,6/13/2018 14:00,1 Hour,Tabletop,,,6,2,Weird Giraffe Games,Adam Kecskes,Weird Giraffe Games,,Yes,Yes,,,10+,Low,Beginner
8246,Munchkin the CCG - Contructed Deck Free Play,Bring your best CCG decks for free play combat and a Blarg booster!,6/13/2018 13:00,6/13/2018 15:00,2 Hours,CCG/TCG,,,10,6,Steve Jackson Games,,Steve Jackson Games,,No,No,,,13+,Med,Intermediate
8264,Illuminati - Learn to play with creator Steve Jackson!,"Learn to take over the world, with Evil Stevie himself as your guide.",6/13/2018 13:00,6/13/2018 15:00,2 Hours,Tabletop,,,6,6,Steve Jackson Games,,Steve Jackson Games,,Yes,Yes,,,13+,Med,Beginner
6442,Star Trek Attack Wing Quick Play,Star Trek Attack Wing Quick Play. Build a 130 SP Constructed team and compete in a single elimination event,6/13/2018 13:00,6/13/2018 15:00,2 Hours,Miniature,,,32,6,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
